item_id,title,clean_title,genres
69,Forrest Gump (1994),forrest gump,"Comedy, Romance, War"
70,Four Weddings and a Funeral (1994),four weddings funeral,"Comedy, Romance"
71,"Lion King, The (1994)",lion king,"Animation, Children, Musical"
72,"Mask, The (1994)",mask,"Comedy, Crime, Fantasy"
73,Maverick (1994),maverick,"Action, Comedy, Western"
74,Faster Pussycat! Kill! Kill! (1965),faster pussycat kill kill,"Action, Comedy, Drama"
75,Brother Minister: The Assassination of Malcolm X (1994),brother minister assassination malcolm,Documentary
76,Carlito's Way (1993),carlitos way,"Crime, Drama"
77,"Firm, The (1993)",firm,"Drama, Thriller"
78,Free Willy (1993),free willy,"Adventure, Children, Drama"
79,"Fugitive, The (1993)",fugitive,"Action, Thriller"
80,Hot Shots! Part Deux (1993),hot shots part deux,"Action, Comedy, War"
81,"Hudsucker Proxy, The (1994)",hudsucker proxy,"Comedy, Romance"
82,Jurassic Park (1993),jurassic park,"Action, Adventure, Sci-Fi"
83,Much Ado About Nothing (1993),much ado nothing,"Comedy, Romance"
84,Robert A. Heinlein's The Puppet Masters (1994),robert heinleins puppet masters,"Horror, Sci-Fi"
85,"Ref, The (1994)",ref,Comedy
86,"Remains of the Day, The (1993)",remains day,Drama
87,Searching for Bobby Fischer (1993),searching bobby fischer,Drama
88,Sleepless in Seattle (1993),sleepless seattle,"Comedy, Romance"
89,Blade Runner (1982),blade runner,"Film-Noir, Sci-Fi"
90,So I Married an Axe Murderer (1993),married axe murderer,"Comedy, Romance, Thriller"
91,"Nightmare Before Christmas, The (1993)",nightmare christmas,"Children, Comedy, Musical"
92,True Romance (1993),true romance,"Action, Crime, Romance"
93,Welcome to the Dollhouse (1995),welcome dollhouse,"Comedy, Drama"
94,Home Alone (1990),home alone,"Children, Comedy"
95,Aladdin (1992),aladdin,"Animation, Children, Comedy, Musical"
96,Terminator 2: Judgment Day (1991),terminator judgment day,"Action, Sci-Fi, Thriller"
97,Dances with Wolves (1990),dances wolves,"Adventure, Drama, Western"
98,"Silence of the Lambs, The (1991)",silence lambs,"Drama, Thriller"
99,Snow White and the Seven Dwarfs (1937),snow white seven dwarfs,"Animation, Children, Musical"
100,Fargo (1996),fargo,"Crime, Drama, Thriller"
101,Heavy Metal (1981),heavy metal,"Action, Adventure, Animation, Horror, Sci-Fi"
102,"Aristocats, The (1970)",aristocats,"Animation, Children"
103,All Dogs Go to Heaven 2 (1996),dogs heaven,"Animation, Children, Musical"
104,Theodore Rex (1995),theodore rex,Comedy
105,Sgt. Bilko (1996),sgt bilko,Comedy
106,Diabolique (1996),diabolique,"Drama, Thriller"
107,Moll Flanders (1996),moll flanders,Drama
108,Kids in the Hall: Brain Candy (1996),kids hall brain candy,Comedy
109,Mystery Science Theater 3000: The Movie (1996),mystery science theater 3000 movie,"Comedy, Sci-Fi"
110,Operation Dumbo Drop (1995),operation dumbo drop,"Action, Adventure, Comedy, War"
111,"Truth About Cats & Dogs, The (1996)",truth cats dogs,"Comedy, Romance"
112,Flipper (1996),flipper,"Adventure, Children"
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",horseman roof hussard sur toit,Drama
114,Wallace & Gromit: The Best of Aardman Animation (1996),wallace gromit best aardman animation,Animation
115,"Haunted World of Edward D. Wood Jr., The (1995)",haunted world edward wood,Documentary
116,Cold Comfort Farm (1995),cold comfort farm,Comedy
117,"Rock, The (1996)",rock,"Action, Adventure, Thriller"
118,Twister (1996),twister,"Action, Adventure, Thriller"
119,Maya Lin: A Strong Clear Vision (1994),maya lin strong clear vision,Documentary
120,Striptease (1996),striptease,"Comedy, Crime"
121,Independence Day (ID4) (1996),independence day id4,"Action, Sci-Fi, War"
122,"Cable Guy, The (1996)",cable guy,Comedy
123,"Frighteners, The (1996)",frighteners,"Comedy, Horror"
124,Lone Star (1996),lone star,"Drama, Mystery"
125,Phenomenon (1996),phenomenon,"Drama, Romance"
126,"Spitfire Grill, The (1996)",spitfire grill,Drama
127,"Godfather, The (1972)",godfather,"Action, Crime, Drama"
128,Supercop (1992),supercop,"Action, Thriller"
129,Bound (1996),bound,"Crime, Drama, Romance, Thriller"
130,Kansas City (1996),kansas city,Crime
131,Breakfast at Tiffany's (1961),breakfast tiffanys,"Drama, Romance"
132,"Wizard of Oz, The (1939)",wizard,"Adventure, Children, Drama, Musical"
133,Gone with the Wind (1939),gone wind,"Drama, Romance, War"
134,Citizen Kane (1941),citizen kane,Drama
135,2001: A Space Odyssey (1968),2001 space odyssey,"Drama, Mystery, Sci-Fi, Thriller"
136,Mr. Smith Goes to Washington (1939),smith goes washington,Drama
137,Big Night (1996),big night,Drama
138,D3: The Mighty Ducks (1996),mighty ducks,"Children, Comedy"
139,"Love Bug, The (1969)",love bug,"Children, Comedy"
140,Homeward Bound: The Incredible Journey (1993),homeward bound incredible journey,"Adventure, Children"
141,"20,000 Leagues Under the Sea (1954)",20000 leagues sea,"Adventure, Children, Fantasy, Sci-Fi"
142,Bedknobs and Broomsticks (1971),bedknobs broomsticks,"Adventure, Children, Musical"
143,"Sound of Music, The (1965)",sound music,Musical
144,Die Hard (1988),die hard,"Action, Thriller"
145,"Lawnmower Man, The (1992)",lawnmower man,"Action, Sci-Fi, Thriller"
146,Unhook the Stars (1996),unhook stars,Drama
147,"Long Kiss Goodnight, The (1996)",long kiss goodnight,"Action, Thriller"
148,"Ghost and the Darkness, The (1996)",ghost darkness,"Action, Adventure"
149,Jude (1996),jude,Drama
150,Swingers (1996),swingers,"Comedy, Drama"
151,Willy Wonka and the Chocolate Factory (1971),willy wonka chocolate factory,"Adventure, Children, Comedy"
152,Sleeper (1973),sleeper,"Comedy, Sci-Fi"
153,"Fish Called Wanda, A (1988)",fish called wanda,Comedy
154,Monty Python's Life of Brian (1979),monty pythons life brian,Comedy
155,Dirty Dancing (1987),dirty dancing,"Musical, Romance"
156,Reservoir Dogs (1992),reservoir dogs,"Crime, Thriller"
157,Platoon (1986),platoon,"Drama, War"
158,Weekend at Bernie's (1989),weekend bernies,Comedy
159,Basic Instinct (1992),basic instinct,"Mystery, Thriller"
160,Glengarry Glen Ross (1992),glengarry glen ross,Drama
161,Top Gun (1986),top gun,"Action, Romance"
162,On Golden Pond (1981),golden pond,Drama
163,"Return of the Pink Panther, The (1974)",return pink panther,Comedy
164,"Abyss, The (1989)",abyss,"Action, Adventure, Sci-Fi, Thriller"
165,Jean de Florette (1986),jean florette,Drama
166,Manon of the Spring (Manon des sources) (1986),manon spring manon des sources,Drama
167,Private Benjamin (1980),private benjamin,Comedy
168,Monty Python and the Holy Grail (1974),monty python holy grail,Comedy
169,"Wrong Trousers, The (1993)",wrong trousers,"Animation, Comedy"
170,Cinema Paradiso (1988),cinema paradiso,"Comedy, Drama, Romance"
171,Delicatessen (1991),delicatessen,"Comedy, Sci-Fi"
172,"Empire Strikes Back, The (1980)",empire strikes back,"Action, Adventure, Drama, Romance, Sci-Fi, War"
173,"Princess Bride, The (1987)",princess bride,"Action, Adventure, Comedy, Romance"
174,Raiders of the Lost Ark (1981),raiders lost ark,"Action, Adventure"
175,Brazil (1985),brazil,Sci-Fi
176,Aliens (1986),aliens,"Action, Sci-Fi, Thriller, War"
177,"Good, The Bad and The Ugly, The (1966)",good bad ugly,"Action, Western"
178,12 Angry Men (1957),angry men,Drama
179,"Clockwork Orange, A (1971)",clockwork orange,Sci-Fi
180,Apocalypse Now (1979),apocalypse,"Drama, War"
181,Return of the Jedi (1983),return jedi,"Action, Adventure, Romance, Sci-Fi, War"
182,GoodFellas (1990),goodfellas,"Crime, Drama"
183,Alien (1979),alien,"Action, Horror, Sci-Fi, Thriller"
184,Army of Darkness (1993),army darkness,"Action, Adventure, Comedy, Horror, Sci-Fi"
185,Psycho (1960),psycho,"Horror, Romance, Thriller"
186,"Blues Brothers, The (1980)",blues brothers,"Action, Comedy, Musical"
187,"Godfather: Part II, The (1974)",godfather part,"Action, Crime, Drama"
188,Full Metal Jacket (1987),full metal jacket,"Action, Drama, War"
189,"Grand Day Out, A (1992)",grand day,"Animation, Comedy"
190,Henry V (1989),henry,"Drama, War"
191,Amadeus (1984),amadeus,"Drama, Mystery"
192,Raging Bull (1980),raging bull,Drama
193,"Right Stuff, The (1983)",right stuff,Drama
194,"Sting, The (1973)",sting,"Comedy, Crime"
195,"Terminator, The (1984)",terminator,"Action, Sci-Fi, Thriller"
196,Dead Poets Society (1989),dead poets society,Drama
197,"Graduate, The (1967)",graduate,"Drama, Romance"
198,Nikita (La Femme Nikita) (1990),nikita femme nikita,Thriller
199,"Bridge on the River Kwai, The (1957)",bridge river kwai,"Drama, War"
200,"Shining, The (1980)",shining,Horror
201,Evil Dead II (1987),evil dead,"Action, Adventure, Comedy, Horror"
202,Groundhog Day (1993),groundhog day,"Comedy, Romance"
203,Unforgiven (1992),unforgiven,Western
204,Back to the Future (1985),back future,"Comedy, Sci-Fi"
205,Patton (1970),patton,"Drama, War"
206,Akira (1988),akira,"Adventure, Animation, Sci-Fi, Thriller"
207,Cyrano de Bergerac (1990),cyrano bergerac,"Action, Drama, Romance"
208,Young Frankenstein (1974),young frankenstein,"Comedy, Horror"
209,This Is Spinal Tap (1984),spinal tap,"Comedy, Drama, Musical"
210,Indiana Jones and the Last Crusade (1989),indiana jones last crusade,"Action, Adventure"
211,M*A*S*H (1970),mash,"Comedy, War"
212,"Unbearable Lightness of Being, The (1988)",unbearable lightness,Drama
213,"Room with a View, A (1986)",room view,"Drama, Romance"
214,Pink Floyd - The Wall (1982),pink floyd wall,"Drama, Musical, War"
215,Field of Dreams (1989),field dreams,Drama
216,When Harry Met Sally... (1989),harry met sally,"Comedy, Romance"
217,Bram Stoker's Dracula (1992),bram stokers dracula,"Horror, Romance"
218,Cape Fear (1991),cape fear,Thriller
219,"Nightmare on Elm Street, A (1984)",nightmare elm street,Horror
220,"Mirror Has Two Faces, The (1996)",mirror two faces,"Comedy, Romance"
221,Breaking the Waves (1996),breaking waves,Drama
222,Star Trek: First Contact (1996),star trek first contact,"Action, Adventure, Sci-Fi"
223,Sling Blade (1996),sling blade,"Drama, Thriller"
224,Ridicule (1996),ridicule,Drama
225,101 Dalmatians (1996),101 dalmatians,"Children, Comedy"
226,Die Hard 2 (1990),die hard,"Action, Thriller"
227,Star Trek VI: The Undiscovered Country (1991),star trek undiscovered country,"Action, Adventure, Sci-Fi"
228,Star Trek: The Wrath of Khan (1982),star trek wrath khan,"Action, Adventure, Sci-Fi"
229,Star Trek III: The Search for Spock (1984),star trek iii search spock,"Action, Adventure, Sci-Fi"
230,Star Trek IV: The Voyage Home (1986),star trek voyage home,"Action, Adventure, Sci-Fi"
231,Batman Returns (1992),batman returns,"Action, Adventure, Comedy, Crime"
232,Young Guns (1988),young guns,"Action, Comedy, Western"
233,Under Siege (1992),siege,Action
234,Jaws (1975),jaws,"Action, Horror"
235,Mars Attacks! (1996),mars attacks,"Action, Comedy, Sci-Fi, War"
236,Citizen Ruth (1996),citizen ruth,"Comedy, Drama"
237,Jerry Maguire (1996),jerry maguire,"Drama, Romance"
238,Raising Arizona (1987),raising arizona,Comedy
239,Sneakers (1992),sneakers,"Crime, Drama, Sci-Fi"
240,Beavis and Butt-head Do America (1996),beavis butthead america,"Animation, Comedy"
241,"Last of the Mohicans, The (1992)",last mohicans,"Action, Romance, War"
242,Kolya (1996),kolya,Comedy
243,Jungle2Jungle (1997),jungle2jungle,"Children, Comedy"
244,Smilla's Sense of Snow (1997),smillas sense snow,"Action, Drama, Thriller"
245,"Devil's Own, The (1997)",devils,"Action, Drama, Thriller, War"
246,Chasing Amy (1997),chasing amy,"Drama, Romance"
247,Turbo: A Power Rangers Movie (1997),turbo power rangers movie,"Action, Adventure, Children"
248,Grosse Pointe Blank (1997),grosse pointe blank,"Comedy, Crime"
249,Austin Powers: International Man of Mystery (1997),austin powers international man mystery,Comedy
250,"Fifth Element, The (1997)",fifth element,"Action, Sci-Fi"
251,Shall We Dance? (1996),shall dance,Comedy
252,"Lost World: Jurassic Park, The (1997)",lost world jurassic park,"Action, Adventure, Sci-Fi, Thriller"
253,"Pillow Book, The (1995)",pillow book,"Drama, Romance"
254,Batman & Robin (1997),batman robin,"Action, Adventure, Crime"
255,My Best Friend's Wedding (1997),best friends wedding,"Comedy, Romance"
256,When the Cats Away (Chacun cherche son chat) (1996),cats away chacun cherche son chat,"Comedy, Romance"
257,Men in Black (1997),men black,"Action, Adventure, Comedy, Sci-Fi"
258,Contact (1997),contact,"Drama, Sci-Fi"
259,George of the Jungle (1997),george jungle,"Children, Comedy"
260,Event Horizon (1997),event horizon,"Action, Mystery, Sci-Fi, Thriller"
261,Air Bud (1997),air bud,"Children, Comedy"
262,In the Company of Men (1997),company men,Drama
263,Steel (1997),steel,Action
264,Mimic (1997),mimic,"Sci-Fi, Thriller"
265,"Hunt for Red October, The (1990)",hunt red october,"Action, Thriller"
266,Kull the Conqueror (1997),kull conqueror,"Action, Adventure"
267,unknown,unknown,unknown
268,Chasing Amy (1997),chasing amy,"Drama, Romance"
269,"Full Monty, The (1997)",full monty,Comedy
270,Gattaca (1997),gattaca,"Drama, Sci-Fi, Thriller"
271,Starship Troopers (1997),starship troopers,"Action, Adventure, Sci-Fi, War"
272,Good Will Hunting (1997),good hunting,Drama
273,Heat (1995),heat,"Action, Crime, Thriller"
274,Sabrina (1995),sabrina,"Comedy, Romance"
275,Sense and Sensibility (1995),sense sensibility,"Drama, Romance"
276,Leaving Las Vegas (1995),leaving las vegas,"Drama, Romance"
277,Restoration (1995),restoration,Drama
278,Bed of Roses (1996),bed roses,"Drama, Romance"
279,Once Upon a Time... When We Were Colored (1995),upon time colored,Drama
280,Up Close and Personal (1996),close personal,"Drama, Romance"
281,"River Wild, The (1994)",river wild,"Action, Thriller"
282,"Time to Kill, A (1996)",time kill,Drama
283,Emma (1996),emma,"Drama, Romance"
284,Tin Cup (1996),tin cup,"Comedy, Romance"
285,Secrets & Lies (1996),secrets lies,Drama
286,"English Patient, The (1996)",english patient,"Drama, Romance, War"
287,Marvin's Room (1996),marvins room,Drama
288,Scream (1996),scream,"Horror, Thriller"
289,Evita (1996),evita,"Drama, Musical"
290,Fierce Creatures (1997),fierce creatures,Comedy
291,Absolute Power (1997),absolute power,"Mystery, Thriller"
292,Rosewood (1997),rosewood,Drama
293,Donnie Brasco (1997),donnie brasco,"Crime, Drama"
294,Liar Liar (1997),liar liar,Comedy
295,Breakdown (1997),breakdown,"Action, Thriller"
296,"Promesse, La (1996)",promesse,Drama
297,Ulee's Gold (1997),ulees gold,Drama
298,Face/Off (1997),faceoff,"Action, Sci-Fi, Thriller"
299,Hoodlum (1997),hoodlum,"Crime, Drama, Film-Noir"
300,Air Force One (1997),air force one,"Action, Thriller"
301,In & Out (1997),,Comedy
302,L.A. Confidential (1997),confidential,"Crime, Film-Noir, Mystery, Thriller"
303,Ulee's Gold (1997),ulees gold,Drama
304,Fly Away Home (1996),fly away home,"Adventure, Children"
305,"Ice Storm, The (1997)",ice storm,Drama
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",mrs brown majesty mrs brown,"Drama, Romance"
307,"Devil's Advocate, The (1997)",devils advocate,"Crime, Horror, Mystery, Thriller"
308,FairyTale: A True Story (1997),fairytale true story,"Children, Drama, Fantasy"
309,Deceiver (1997),deceiver,Crime
310,"Rainmaker, The (1997)",rainmaker,Drama
311,"Wings of the Dove, The (1997)",wings dove,"Drama, Romance, Thriller"
312,Midnight in the Garden of Good and Evil (1997),midnight garden good evil,"Comedy, Crime, Drama, Mystery"
313,Titanic (1997),titanic,"Action, Drama, Romance"
314,3 Ninjas: High Noon At Mega Mountain (1998),ninjas high noon mega mountain,"Action, Children"
315,Apt Pupil (1998),apt pupil,"Drama, Thriller"
316,As Good As It Gets (1997),good gets,"Comedy, Drama"
317,In the Name of the Father (1993),name father,Drama
318,Schindler's List (1993),schindlers list,"Drama, War"
319,Everyone Says I Love You (1996),everyone says love,"Comedy, Musical, Romance"
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),paradise lost child murders robin hood hills,Documentary
321,Mother (1996),mother,Comedy
322,Murder at 1600 (1997),murder 1600,"Mystery, Thriller"
323,Dante's Peak (1997),dantes peak,"Action, Thriller"
324,Lost Highway (1997),lost highway,Mystery
325,Crash (1996),crash,"Drama, Thriller"
326,G.I. Jane (1997),jane,"Action, Drama, War"
327,Cop Land (1997),cop land,"Crime, Drama, Mystery"
328,Conspiracy Theory (1997),conspiracy theory,"Action, Mystery, Romance, Thriller"
329,Desperate Measures (1998),desperate measures,"Crime, Drama, Thriller"
330,187 (1997),187,Drama
331,"Edge, The (1997)",edge,"Adventure, Thriller"
332,Kiss the Girls (1997),kiss girls,"Crime, Drama, Thriller"
333,"Game, The (1997)",game,"Mystery, Thriller"
334,U Turn (1997),turn,"Action, Crime, Mystery"
335,How to Be a Player (1997),player,Comedy
336,Playing God (1997),playing god,"Crime, Thriller"
337,"House of Yes, The (1997)",house yes,"Comedy, Drama, Thriller"
338,Bean (1997),bean,Comedy
339,Mad City (1997),mad city,"Action, Drama"
340,Boogie Nights (1997),boogie nights,Drama
341,Critical Care (1997),critical care,Comedy
342,"Man Who Knew Too Little, The (1997)",man knew little,"Comedy, Mystery"
343,Alien: Resurrection (1997),alien resurrection,"Action, Horror, Sci-Fi"
344,"Apostle, The (1997)",apostle,Drama
345,Deconstructing Harry (1997),deconstructing harry,"Comedy, Drama"
346,Jackie Brown (1997),jackie brown,"Crime, Drama"
347,Wag the Dog (1997),wag dog,"Comedy, Drama"
348,Desperate Measures (1998),desperate measures,"Crime, Drama, Thriller"
349,Hard Rain (1998),hard rain,"Action, Thriller"
350,Fallen (1998),fallen,"Action, Mystery, Thriller"
351,"Prophecy II, The (1998)",prophecy,Horror
352,Spice World (1997),spice world,"Comedy, Musical"
353,Deep Rising (1998),deep rising,"Action, Horror, Sci-Fi"
354,"Wedding Singer, The (1998)",wedding singer,"Comedy, Romance"
355,Sphere (1998),sphere,"Adventure, Sci-Fi, Thriller"
356,"Client, The (1994)",client,"Drama, Mystery, Thriller"
357,One Flew Over the Cuckoo's Nest (1975),one flew cuckoos nest,Drama
358,Spawn (1997),spawn,"Action, Adventure, Sci-Fi, Thriller"
359,"Assignment, The (1997)",assignment,Thriller
360,Wonderland (1997),wonderland,Documentary
361,Incognito (1997),incognito,"Crime, Thriller"
362,Blues Brothers 2000 (1998),blues brothers 2000,"Action, Comedy, Musical"
363,Sudden Death (1995),sudden death,Action
364,Ace Ventura: When Nature Calls (1995),ace ventura nature calls,Comedy
365,Powder (1995),powder,Drama
366,Dangerous Minds (1995),dangerous minds,Drama
367,Clueless (1995),clueless,Comedy
368,Bio-Dome (1996),biodome,Comedy
369,Black Sheep (1996),black sheep,Comedy
370,Mary Reilly (1996),mary reilly,"Drama, Thriller"
371,"Bridges of Madison County, The (1995)",bridges madison county,"Drama, Romance"
372,Jeffrey (1995),jeffrey,Comedy
373,Judge Dredd (1995),judge dredd,"Action, Adventure, Sci-Fi"
374,Mighty Morphin Power Rangers: The Movie (1995),mighty morphin power rangers movie,"Action, Children"
375,Showgirls (1995),showgirls,Drama
376,Houseguest (1994),houseguest,Comedy
377,Heavyweights (1994),heavyweights,"Children, Comedy"
378,Miracle on 34th Street (1994),miracle 34th street,Drama
379,Tales From the Crypt Presents: Demon Knight (1995),tales crypt presents demon knight,Horror
380,Star Trek: Generations (1994),star trek generations,"Action, Adventure, Sci-Fi"
381,Muriel's Wedding (1994),muriels wedding,"Comedy, Romance"
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",adventures priscilla queen desert,"Comedy, Drama"
383,"Flintstones, The (1994)",flintstones,"Children, Comedy"
384,Naked Gun 33 1/3: The Final Insult (1994),naked gun final insult,Comedy
385,True Lies (1994),true lies,"Action, Adventure, Comedy, Romance"
386,Addams Family Values (1993),addams family values,Comedy
387,"Age of Innocence, The (1993)",age innocence,Drama
388,Beverly Hills Cop III (1994),beverly hills cop iii,"Action, Comedy"
389,Black Beauty (1994),black beauty,"Adventure, Children"
390,Fear of a Black Hat (1993),fear black hat,Comedy
391,Last Action Hero (1993),last action hero,"Action, Comedy"
392,"Man Without a Face, The (1993)",man without face,Drama
393,Mrs. Doubtfire (1993),mrs doubtfire,Comedy
394,Radioland Murders (1994),radioland murders,"Comedy, Mystery, Romance"
395,Robin Hood: Men in Tights (1993),robin hood men tights,Comedy
396,Serial Mom (1994),serial mom,"Comedy, Crime, Horror"
397,Striking Distance (1993),striking distance,Action
398,Super Mario Bros. (1993),super mario bros,"Action, Adventure, Children, Sci-Fi"
399,"Three Musketeers, The (1993)",three musketeers,"Action, Adventure, Comedy"
400,"Little Rascals, The (1994)",little rascals,"Children, Comedy"
401,"Brady Bunch Movie, The (1995)",brady bunch movie,Comedy
402,Ghost (1990),ghost,"Comedy, Romance, Thriller"
403,Batman (1989),batman,"Action, Adventure, Crime, Drama"
404,Pinocchio (1940),pinocchio,"Animation, Children"
405,Mission: Impossible (1996),mission impossible,"Action, Adventure, Mystery"
406,Thinner (1996),thinner,"Horror, Thriller"
407,Spy Hard (1996),spy hard,Comedy
408,"Close Shave, A (1995)",close shave,"Animation, Comedy, Thriller"
409,Jack (1996),jack,"Comedy, Drama"
410,Kingpin (1996),kingpin,Comedy
411,"Nutty Professor, The (1996)",nutty professor,"Comedy, Fantasy, Romance, Sci-Fi"
412,"Very Brady Sequel, A (1996)",brady sequel,Comedy
413,Tales from the Crypt Presents: Bordello of Blood (1996),tales crypt presents bordello blood,Horror
414,My Favorite Year (1982),favorite year,Comedy
415,"Apple Dumpling Gang, The (1975)",apple dumpling gang,"Children, Comedy, Western"
416,Old Yeller (1957),old yeller,"Children, Drama"
417,"Parent Trap, The (1961)",parent trap,"Children, Drama"
418,Cinderella (1950),cinderella,"Animation, Children, Musical"
419,Mary Poppins (1964),mary poppins,"Children, Comedy, Musical"
420,Alice in Wonderland (1951),alice wonderland,"Animation, Children, Musical"
421,William Shakespeare's Romeo and Juliet (1996),william shakespeares romeo juliet,"Drama, Romance"
422,Aladdin and the King of Thieves (1996),aladdin king thieves,"Animation, Children, Comedy"
423,E.T. the Extra-Terrestrial (1982),extraterrestrial,"Children, Drama, Fantasy, Sci-Fi"
424,Children of the Corn: The Gathering (1996),children corn gathering,Horror
425,Bob Roberts (1992),bob roberts,Comedy
426,"Transformers: The Movie, The (1986)",transformers movie,"Action, Animation, Children, Sci-Fi, Thriller, War"
427,To Kill a Mockingbird (1962),kill mockingbird,Drama
428,Harold and Maude (1971),harold maude,Comedy
429,"Day the Earth Stood Still, The (1951)",day earth stood still,"Drama, Sci-Fi"
430,Duck Soup (1933),duck soup,"Comedy, War"
431,Highlander (1986),highlander,"Action, Adventure"
432,Fantasia (1940),fantasia,"Animation, Children, Musical"
433,Heathers (1989),heathers,Comedy
434,Forbidden Planet (1956),forbidden planet,Sci-Fi
435,Butch Cassidy and the Sundance Kid (1969),butch cassidy sundance kid,"Action, Comedy, Western"
436,"American Werewolf in London, An (1981)",american werewolf london,Horror
437,Amityville 1992: It's About Time (1992),amityville 1992 time,Horror
438,Amityville 3-D (1983),amityville,Horror
439,Amityville: A New Generation (1993),amityville new generation,Horror
440,Amityville II: The Possession (1982),amityville possession,Horror
441,"Amityville Horror, The (1979)",amityville horror,Horror
442,"Amityville Curse, The (1990)",amityville curse,Horror
443,"Birds, The (1963)",birds,Horror
444,"Blob, The (1958)",blob,"Horror, Sci-Fi"
445,"Body Snatcher, The (1945)",body snatcher,Horror
446,Burnt Offerings (1976),burnt offerings,Horror
447,Carrie (1976),carrie,Horror
448,"Omen, The (1976)",omen,Horror
449,Star Trek: The Motion Picture (1979),star trek motion picture,"Action, Adventure, Sci-Fi"
